word,meaning,example
librarian,图书管理员,Ask the librarian.
library,图书馆；藏书,Study in the library.
license,执照；许可证,Driver's license.
lick,舔；舔食,The dog licks.
lid,盖子；眼睑,Put on the lid.
lie,躺；说谎,Don't lie.
life,生命；生活,Life is beautiful.
lifetime,一生；终身,A lifetime achievement.
lift,举起；电梯,Lift the box.
light,光；轻的,Turn on the light.
like,喜欢；像,I like you.
likely,可能的；有希望的,Likely to succeed.
limit,限制；限度,Set a limit.
limited,有限的；受限制的,Limited time.
line,线；行,Draw a line.
link,连接；联系,Link the two.
lion,狮子；勇猛的人,The lion roars.
lip,嘴唇；边缘,Bite your lip.
liquid,液体；液态,Drink liquids.
list,列表；清单,Make a list.
listen,听；倾听,Listen to me.
literature,文学；文学作品,Study literature.
liter,升，A liter of water.
little,小的；少许,A little bit.
live,居住；活的,Where do you live?
lively,活泼的；生动的,A lively child.
living,活着的；生计,Make a living.
load,装载；负荷,Load the truck.
loaf,一条面包；游荡,A loaf of bread.
loan,贷款；借出,Apply for a loan.
local,当地的；局部的,Local news.
locate,位于；找出,Locate the source.
location,位置；场所,The location is perfect.
lock,锁；锁上,Lock the door.
lodge,住宿；暂住,Lodge at a hotel.
log,原木；日志,Cut the log.
logic,逻辑；逻辑学,Use logic.
lonely,孤独的；寂寞的,Feel lonely.
long,长的；长期,How long?
look,看；看起来,Look at me.
loose,松的；宽松的,The screw is loose.
lord,贵族；领主,The lord of the manor.
lorry,卡车；运货汽车,Drive a lorry.
lose,失去；失败,Don't lose hope.
loss,损失；失败,The loss is heavy.
lot,许多；大量,A lot of.
loud,大声的；响亮的,Speak loud.
love,爱；热爱,Love wins.
lovely,可爱的；令人愉快的,A lovely day.
low,低的；矮的,Low price.
luck,运气；好运,Good luck!
lucky,幸运的；侥幸的,Lucky you.
luggage,行李；皮箱,Carry the luggage.
lunch,午餐；午饭,Have lunch.
lung,肺；呼吸器官,The lungs breathe.
machine,机器；机械,The machine works.
mad,发疯的；生气的,Are you mad?
madam,夫人；女士,Dear madam.
magazine,杂志；期刊,Read a magazine.
magic,魔法；魔术,Believe in magic?
mail,邮件；邮寄,Send by mail.
main,主要的；干线,The main road.
maintain,维持；维修,Maintain order.
major,主要的；专业,The major issue.
majority,多数；大半,The majority.
make,制造；使得,Make a cake.
male,男性的；雄性,Male students.
man,男人；人类,Be a man.
manage,管理；设法,Manage the team.
manager,经理；管理人,The store manager.
manner,方式；态度,Good manner.
many,许多的；很多人,Many people.
map,地图；图,Look at the map.
March,三月,In March.
march,行军；前进,March forward.
mark,标记；分数,Get a good mark.
market,市场；集市,Go to the market.
marriage,婚姻；结婚,Happy marriage.
marry,结婚；嫁娶,Marry me.
mask,面具；口罩,Wear a mask.
mass,大量；质量,A mass of.
master,主人；掌握,Master the skill.
match,比赛；火柴,Watch the match.
material,材料；原料,The material is soft.
math,数学；算数,Study math.
matter,事情；物质,What's the matter?
May,五月,In May.
may,可以；可能,May I help?
maybe,也许；可能,Maybe later.
me,我（宾格）,Give it to me.
meal,一餐；膳食,Have a meal.
mean,意思是；吝啬的,What do you mean?
meaning,意义；含义,The meaning of life.
means,方法；手段,By all means.
meanwhile,同时；其间,Wait meanwhile.
measure,测量；措施,Measure the length.
meat,肉；肉类,Eat meat.
mechanic,技工；机械师,The car mechanic.
medical,医学的；医疗的,Medical care.
medicine,药；医学,Take medicine.
medium,中等的；媒体,Medium size.
meet,遇见；会面,Nice to meet you.
meeting,会议；集会,Attend a meeting.
melt,融化；溶解,The ice melts.
member,成员；会员,Be a member.
memory,记忆；回忆,In memory of.
mend,修理；修补,Mend the clothes.
mental,精神的；心理的,Mental health.
mention,提及；说到,Don't mention it.
menu,菜单；食谱,Look at the menu.
merchant,商人；批发商,The merchant sells.
mercy,仁慈；宽恕,Show mercy.
mere,仅仅的；只不过,A mere child.
merely,仅仅；只不过,Merely a suggestion.
merit,优点；价值,Have merit.
merry,快乐的；愉快的,Merry Christmas.
mess,混乱；脏乱,What a mess.
message,消息；信息,Send a message.
metal,金属；金属制品,Metal objects.
meter,米；仪表,One meter.
method,方法；办法,Find a method.
metre,米，A metre long.
microphone,麦克风；扩音器,Speak into the microphone.
microscope,显微镜,Look through the microscope.
middle,中间；中部,In the middle.
midnight,午夜；子夜,At midnight.
might,力量；可能,With all my might.
mild,温和的；轻微的,Mild weather.
mile,英里；一英里,One mile.
milk,牛奶；挤奶,Drink milk.
mill,磨坊；工厂,The old mill.
million,百万；无数,Millions of.
mind,头脑；介意,Make up your mind.
mine,我的；矿,This is mine.
mineral,矿物；矿物质,Mineral water.
minister,部长；大臣,The prime minister.
ministry,部；政府部门,The ministry.
minute,分钟；一会儿,Wait a minute.
mirror,镜子；反映,Look in the mirror.
miss,想念；错过,I miss you.
missile,导弹；发射物,Launch a missile.
missing,失踪的；缺少的,A missing person.
mission,使命；任务,Complete the mission.
mistake,错误；弄错,Make a mistake.
mix,混合；混淆,Mix the colors.
mixture,混合物；混合,A mixture of.
mobile,移动的；手机,Mobile phone.
model,模型；模范,A role model.
modern,现代的；近代的,Modern technology.
modest,谦虚的；适度的,Be modest.
mom,妈妈，I love mom.
moment,片刻；时刻,At the moment.
money,钱；货币,Save money.
monitor,监视器；班长,The computer monitor.
monkey,猴子；猿,The monkey climbs.
month,月；月份,This month.
monthly,每月的；月刊,Monthly payment.
moon,月亮；月球,The moon is bright.
moral,道德的；品行,The moral of the story.
more,更多的；更大,More please.
morning,早晨；上午,Good morning.
most,最多的；大多数,Most people.
mother,母亲；妈妈,My mother.
motion,运动；动作,In motion.
motor,发动机；电动机,The motor runs.
mountain,山；山脉,Climb a mountain.
mouse,老鼠；鼠标,The mouse runs.
mouth,嘴；口,Open your mouth.
move,移动；搬家,Move on.
movement,运动；活动,The movement.
movie,电影；影片,Watch a movie.
Mr.,先生，Mr. Smith.
Mrs.,夫人，Mrs. Jones.
much,许多的；大量,Thank you very much.
mud,泥；泥浆,The mud is wet.
multiple,多样的；倍数,Multiple choice.
murder,谋杀；凶杀,Commit murder.
muscle,肌肉；力量,Flex your muscle.
museum,博物馆；展览馆,Visit the museum.
mushroom,蘑菇；菌类,Eat mushrooms.
music,音乐；乐曲,Listen to music.
musical,音乐的；悦耳的,Musical talent.
musician,音乐家；乐师,A talented musician.
must,必须；一定,You must go.
my,我的,This is my book.
myself,我自己,I did it myself.
mystery,神秘；神秘的事物,Solve the mystery.
nail,指甲；钉子,Cut your nails.
naked,裸体的；无遮蔽的,Naked truth.
name,名字；命名,What's your name?
narrow,狭窄的；狭隘的,A narrow road.
nation,国家；民族,The whole nation.
national,国家的；民族的,National flag.
native,本地的；本国的,Native language.
natural,自然的；天然的,Natural beauty.
nature,自然；本性,Back to nature.
near,近的；靠近,Near the station.
nearby,附近的；在附近,Live nearby.
nearly,几乎；差不多,Nearly finished.
neat,整洁的；灵巧的,Keep it neat.
necessary,必要的；必需的,It's necessary.
neck,脖子；颈部,My neck hurts.
need,需要；必要,I need help.
needle,针；针状物,Thread the needle.
negative,否定的；消极的,Negative attitude.
negotiate,谈判；协商,Negotiate the terms.
neighbor,邻居；邻国,My neighbor.
neither,两者都不,Neither is correct.
nephew,侄子；外甥,My nephew.
nervous,紧张的；不安的,Feel nervous.
nest,巢；窝,Bird's nest.
net,网；网状物,Fishing net.
network,网络；网状系统,Computer network.
never,从不；决不,Never give up.
new,新的；新鲜的,New year.
news,新闻；消息,Good news.
newspaper,报纸,Read the newspaper.
next,下一个；其次,Next week.
nice,美好的；令人愉快的,Nice to meet you.
night,夜晚；夜间,Good night.
nine,九；九个,Nine lives.
no,不；没有,No problem.
noble,高尚的；贵族的,Noble cause.
nobody,没有人；无人,Nobody knows.
nod,点头；打盹,Nod in agreement.
noise,噪音；喧闹声,Too much noise.
none,没有人；没有任何东西,None left.
noodle,面条,Eat noodles.
noon,正午；中午,At noon.
nor,也不,Neither nor.
normal,正常的；正规的,Normal temperature.
north,北；北方,Go north.
northern,北方的；北部的,Northern Europe.
nose,鼻子；嗅觉,My nose itches.
not,不；不是,Not at all.
note,笔记；注意,Take a note.
nothing,没有东西；无事,Nothing special.
notice,通知；注意到,Take notice.
novel,小说；新奇的,Read a novel.
November,十一月,In November.
now,现在；立刻,Do it now.
nowhere,任何地方都不；无处,Nowhere to go.
nuclear,核子的；核能的,Nuclear power.
number,数字；号码,Phone number.
nurse,护士；护理,The nurse cares.
nut,坚果；螺母,Eat nuts.
nylon,尼龙；聚酰胺纤维,Nylon stockings.
o'clock,点钟,It's 5 o'clock.
obey,服从；顺从,Obey the rules.
object,物体；目标,The object is heavy.
observe,观察；遵守,Observe the stars.
obtain,获得；得到,Obtain permission.
obvious,明显的；显而易见的,It's obvious.
occasion,场合；时机,On occasion.
occupation,职业；占领,What's your occupation?
occupy,占领；占用,Occupy the room.
occur,发生；出现,It occurred to me.
ocean,海洋；大洋,The ocean is vast.
o'clock,点钟，Three o'clock.
October,十月,In October.
odd,奇怪的；奇数的,An odd number.
of,的；属于,A cup of tea.
off,离开；断开,Turn off.
offer,提供；提议,Offer help.
office,办公室；事务所,Go to the office.
officer,官员；军官,The police officer.
official,官方的；正式的,Official statement.
often,经常；常常,Often late.
oil,油；石油,Cook with oil.
OK,好；可以,That's OK.
old,老的；旧的,How old?
omit,省略；遗漏,Omit the details.
on,在...上；继续,On the table.
once,一次；曾经,Once upon a time.
one,一；一个,One day.
oneself,自己；亲自,Do it oneself.
onion,洋葱；洋葱类,Chop onions.
only,唯一的；仅仅,Only you.
onto,到...上面,Jump onto.
open,打开；开放的,Open the window.
operate,操作；动手术,Operate the machine.
operation,操作；手术,The operation was successful.
operator,操作员；接线员,The telephone operator.
opinion,意见；看法,In my opinion.
opportunity,机会；时机,Seize the opportunity.
oppose,反对；反抗,Oppose the plan.
opposite,相反的；对面的,The opposite side.
option,选择；选项,Have no option.
or,或者；还是,Tea or coffee?
orange,橙子；橙色,An orange.
order,命令；顺序,In order.
ordinary,普通的；平常的,An ordinary day.
organ,器官；风琴,The heart is an organ.
organize,组织；编组,Organize a party.
origin,起源；由来,The origin of.
original,最初的；原创的,Original idea.
other,其他的；另一个,The other day.
otherwise,否则；另外,Or otherwise.
ought,应该；应当,You ought to.
our,我们的,This is our home.
ours,我们的,The house is ours.
ourselves,我们自己,We did it ourselves.
out,外出；向外,Go out.
outcome,结果；成果,The outcome.
outdoor,户外的；野外的,Outdoor activities.
outer,外部的；外面的,Outer space.
outlet,出口；发泄途径,Power outlet.
outline,大纲；轮廓,The outline.
output,产量；输出,Increase output.
outside,在外面；外部,Wait outside.
outstanding,突出的；杰出的,Outstanding performance.
oval,椭圆形的；椭圆,An oval shape.
over,在...上方；结束,All over.
overcoat,大衣；外套,Wear an overcoat.
overcome,克服；战胜,Overcome difficulties.
overlook,忽视；俯瞰,Overlook the details.
overnight,一整夜的；在夜间,Stay overnight.
overseas,海外的；在国外,Live overseas.
owe,欠；应把...归功于,Owe money.
own,自己的；拥有,On my own.
owner,物主；所有者,The car owner.
ownership,所有权；所有制,Ownership rights.
ox,牛；公牛,The ox plows.
oxygen,氧；氧气,Breathe oxygen.
pace,步伐；速度,Keep pace.
pack,包装；包裹,Pack the bags.
package,包裹；包装,Open the package.
packet,小包；小盒,A packet of.
page,页；页码,Turn the page.
pain,疼痛；痛苦,Feel pain.
paint,油漆；绘画,Paint the wall.
painter,画家；油漆匠,The painter paints.
painting,绘画；油画,Beautiful painting.
pair,一对；一双,A pair of shoes.
palace,宫殿；豪华住宅,The royal palace.
pale,苍白的；淡色的,Pale face.
palm,手掌；棕榈树,Clap your palm.
pan,平底锅；盘子,Cook in a pan.
panda,熊猫，The panda is cute.
panel,面板；专门小组,The expert panel.
panic,恐慌；惊慌,Don't panic.
paper,纸；报纸,Write on paper.
parcel,包裹；邮包,Send a parcel.
pardon,原谅；饶恕,Pardon me.
parent,父亲；母亲,My parents.
park,公园；停车,Park the car.
part,部分；角色,Take part.
particular,特别的；详细的,In particular.
partly,部分地；在一定程度上,Partly true.
partner,伙伴；合伙人,My business partner.
party,聚会；政党,Have a party.
pass,通过；传递,Pass the exam.
passage,通道；段落,Read the passage.
passenger,乘客；旅客,The passengers.
passive,被动的；消极的,Passive voice.
passport,护照,Show your passport.
past,过去的；经过,In the past.
paste,粘贴；浆糊,Paste the paper.
pat,轻拍；抚摩,Pat the dog.
patch,补丁；碎片,A patch on.
path,小路；路线,Follow the path.
patience,耐心；忍耐,Have patience.
patient,耐心的；病人,Be patient.
pattern,模式；图案,The pattern.
pause,暂停；中止,Take a pause.
pay,支付；工资,Pay the bill.
payment,付款；支付,Make a payment.
pea,豌豆；豌豆属,Eat peas.
peace,和平；平静,World peace.
peaceful,和平的；平静的,A peaceful place.
pear,梨；梨树,Eat a pear.
peasant,农民；小农,The peasant works.
pedestrian,行人；步行者,The pedestrian crosses.
pen,钢笔；围栏,Write with a pen.
pencil,铅笔,Draw with a pencil.
penny,便士；分,Save every penny.
people,人；人们,Many people.
pepper,胡椒；辣椒,Add pepper.
per,每；每一,100 km per hour.
percent,百分之...，Fifty percent.
percentage,百分比；百分率,The percentage.
perfect,完美的；完全的,Perfect score.
perform,表演；执行,Perform well.
performance,表演；性能,Good performance.
perhaps,也许；可能,Perhaps later.
period,时期；句号,A long period.
permanent,永久的；持久的,Permanent marker.
permit,允许；许可证,Permit me.
person,人；身体,A nice person.
personal,个人的；私人的,Personal opinion.
personality,个性；人格,Strong personality.
personally,亲自；就个人而言,Personally, I think.
persuade,说服；劝说,Persuade him.
pet,宠物；爱畜,Keep a pet.
phone,电话；打电话,Answer the phone.
photo,照片；相片,Take a photo.
phrase,短语；词组,Learn phrases.
physical,身体的；物理的,Physical exercise.
physician,内科医生,See a physician.
pianist,钢琴家；钢琴演奏者,A famous pianist.
piano,钢琴,Play the piano.
pick,挑选；采摘,Pick flowers.
picture,图片；照片,Draw a picture.
pie,馅饼；派,Eat pie.
piece,块；件,A piece of.
pig,猪；猪肉,The pig oinks.
pile,堆；大量,A pile of books.
pill,药丸；药片,Take a pill.
pilot,飞行员；驾驶,The pilot flies.
pin,针；别针,Pin it on.
pine,松树；松木,Pine tree.
pink,粉红色的；粉红色,Pink color.
pint,品脱,One pint.
pipe,管子；烟斗,Smoke a pipe.
pity,怜悯；遗憾,What a pity.
place,地方；放置,This place.
plain,平原；清楚的,The great plain.
plan,计划；设计,Make a plan.
plane,飞机；平面,Take a plane.
planet,行星,The planet Earth.
plant,植物；种植,Water the plant.
plastic,塑料的；塑料制品,Plastic bag.
plate,盘子； plate,Put on a plate.
platform,平台；站台,The train platform.
play,玩；播放,Play games.
player,选手；演奏者,The best player.
playground,操场；游乐场,Play on the playground.
pleasant,令人愉快的；舒适的,A pleasant day.
please,请；使高兴,Please help me.
pleasure,愉快；乐趣,My pleasure.
plenty,充足；大量,Plenty of.
plot,情节；阴谋,The plot thickens.
plug,插头；塞住,Plug in.
plum,李子；洋李,Eat a plum.
plus,加；正的,Two plus two.
pocket,口袋；衣袋,Put in pocket.
poem,诗；韵文,Write a poem.
poet,诗人,The famous poet.
point,点；要点,Good point.
pole,杆；柱,The North Pole.
police,警察；警方,Call the police.
policeman,警察，The policeman directs.
policy,政策；方针,The company policy.
polish,磨光；润色,Polish the shoes.
polite,有礼貌的；有教养的,Be polite.
political,政治的；政党的,Political views.
politician,政治家；政客,The politician speaks.
politics,政治；政治学,Study politics.
pollute,污染；弄脏,Don't pollute.
pollution,污染；污染物,Air pollution.
pond,池塘；水池,The pond is deep.
pool,水池；水塘,Swimming pool.
poor,贫穷的；可怜的,The poor man.
pop,流行的； popping,Pop music.
popular,流行的；受欢迎的,Very popular.
population,人口；居民,The population.
pork,猪肉,Eat pork.
port,港口；端口,The ship enters port.
position,位置；职位,The position.
positive,积极的；正的,Positive attitude.
possess,拥有；持有,Possess wealth.
possession,所有；财产,In possession.
possibility,可能性；可能,There's a possibility.
possible,可能的；合理的,Is it possible?
possibly,可能地；也许,Possibly true.
post,邮政；邮寄,Send by post.
postcard,明信片，Send a postcard.
poster,海报；招贴,Put up a poster.
pot,锅；壶,Cook in a pot.
potato,土豆；马铃薯,Eat potatoes.
potential,潜在的；潜能,Potential risk.
pound,磅；英镑,One pound.
pour,倒；倾盆而下,Pour the water.
poverty,贫穷；贫困,Live in poverty.
powder,粉末；药粉,Baby powder.
power,力量；权力,Powerful.
practical,实际的；实用的,Practical advice.
practice,练习；实践,Practice makes perfect.
praise,赞扬；表扬,Praise the team.
pray,祈祷；请求,Pray for peace.
prayer,祈祷；祷告,Say a prayer.
precious,宝贵的；珍贵的,Precious time.
precise,精确的；准确的,Precise measurement.
predict,预测；预言,Predict the future.
prefer,更喜欢；宁愿,Prefer tea.
preference,偏爱；优先,Have a preference.
pregnant,怀孕的；有意义的,She is pregnant.
preparation,准备；预备,Make preparation.
prepare,准备；预备,Prepare for.
present,现在；礼物,At present.
preserve,保护；保存,Preserve nature.
president,总统；主席,The president.
press,按；新闻,Press the button.
pressure,压力；压强,Under pressure.
pretend,假装；装扮,Pretend to sleep.
pretty,漂亮的；相当,Pretty girl.
prevent,预防；防止,Prevent accidents.
previous,先前的；以前的,Previous experience.
price,价格；价钱,What's the price?
pride,骄傲；自豪,Take pride.
priest,牧师；神父,The priest prays.
primarily,主要地；最初,Primarily used for.
primary,主要的；初级的,Primary school.
prime,首要的；最好的,Prime minister.
primitive,原始的；简单的,Primitive man.
prince,王子；亲王,The prince.
princess,公主；王妃,The princess.
principle,原则；原理,The basic principle.
print,印刷；打印,Print the document.
prison,监狱；监禁,In prison.
prisoner,囚犯；俘虏,The prisoner.
private,私人的；私立的,Private property.
prize,奖品；奖金,Win a prize.
probably,很可能；大概,Probably true.
problem,问题；难题,Solve the problem.
procedure,程序；步骤,Follow the procedure.
proceed,进行；继续,Proceed with.
process,过程；加工,The process.
produce,生产；制造,Produce goods.
product,产品；产物,The product.
production,生产；产量,Increase production.
profession,职业；专业,Choose a profession.
professional,专业的；职业的,Professional advice.
professor,教授；讲师,The professor.
profile,侧面；轮廓,The profile.
profit,利润；利益,Make a profit.
program,节目；程序,TV program.
progress,进步；进展,Make progress.
project,项目；计划,The project.
promise,承诺；答应,Keep the promise.
promote,促进；提升,Promote the product.
prompt,迅速的；促使,Prompt action.
pronounce,发音；宣布,Pronounce the word.
proof,证据；证明,Provide proof.
proper,适当的；正确的,Proper way.
property,财产；性质,Private property.
proportion,比例；部分,In proportion.
proposal,提议；建议,Make a proposal.
propose,提议；求婚,Propose a plan.
protect,保护；防护,Protect the environment.
protection,保护；防护,Under protection.
proud,骄傲的；自豪的,Be proud.
prove,证明；证实,Prove it.
provide,提供；供给,Provide help.
province,省；领域,The province.
provision,供应；条款,Make provision.
psychology,心理学；心理,Study psychology.
public,公众的；公共的,Public place.
publish,出版；发表,Publish a book.
pull,拉；拖,Pull the door.
pulse,脉搏；脉冲,Feel the pulse.
pump,泵；抽水机,The water pump.
punctual,准时的；精确的,Be punctual.
punish,惩罚；处罚,Punish the criminal.
pupil,学生；瞳孔,The pupil learns.
purchase,购买；采购,Purchase goods.
pure,纯的；纯净的,Pure water.
purple,紫色的；紫色,Purple color.
purpose,目的；意图,For what purpose?
purse,钱包；手提包,My purse.
pursue,追求；追赶,Pursue dreams.
push,推；逼迫,Push the button.
put,放；安置,Put it here.
puzzle,谜；使困惑,Solve the puzzle.
pyramid,金字塔；角锥体,The pyramid.
qualify,使合格；限定,Qualify for.
quality,质量；品质,High quality.
quantity,数量；量,Large quantity.
quarter,四分之一；一刻钟,A quarter.
queen,女王；王后,The queen.
question,问题；疑问,Ask a question.
queue,队列；排队,Wait in queue.
quick,快的；迅速的,Be quick.
quiet,安静的；宁静的,Be quiet.
quit,离开；放弃,Quit smoking.
quite,相当；完全,Quite good.
rabbit,兔子；兔肉,The rabbit hops.
race,比赛；种族,Win the race.
racial,种族的；人种的,Racial equality.
rack,架子；支架,Put on the rack.
radar,雷达；无线电探测器,Radar system.
radiation,辐射；放射,Radiation therapy.
radio,收音机；无线电,Listen to radio.
radium,镭,Radium element.
rail,铁路；栏杆,By rail.
railway,铁路；铁道,Railway station.
rain,雨；下雨,It rains.
rainbow,彩虹；雨虹,The rainbow appears.
raise,提高；举起,Raise your hand.
range,范围；射程,A wide range.
rank,等级；排名,The rank.
rapid,快的；迅速的,Rapid growth.
rare,稀有的；罕见的,A rare species.
rat,鼠；卑鄙的人,The rat runs.
rate,比率；速度,At any rate.
rather,宁愿；相当,Rather not.
rating,等级；评级,High rating.
ratio,比；比率,The ratio.
raw,生的；未加工的,Raw material.
ray,光线；射线,A ray of hope.
reach,到达；伸手,Reach the top.
react,反应；起作用,React to.
read,读；阅读,Read a book.
ready,准备好的；乐意的,Get ready.
real,真实的；真正的,Real story.
reality,现实；真实,Face reality.
realize,实现；认识到,Realize the dream.
really,真正地；确实,Really good.
rear,后部；抚养,The rear.
reason,理由；理性,For what reason?
reasonable,合理的；通情达理的,Reasonable price.
rebuild,重建；改建,Rebuild the house.
recall,回忆；召回,Recall the memory.
receipt,收据；收到,Keep the receipt.
receive,收到；接待,Receive a gift.
recent,最近的；新近的,Recent events.
reception,接待；招待会,The reception.
recipe,食谱；处方,The recipe.
recognize,认出；认可,Recognize the face.
recommend,推荐；建议,Recommend a book.
record,记录；唱片,Keep a record.
recover,恢复；痊愈,Recover from.
red,红色的；红色,Red color.
reduce,减少；缩小,Reduce the cost.
refer,提到；参考,Refer to.
reflect,反射；反映,Reflect the light.
reform,改革；改良,Reform the system.
refrigerator,冰箱；冷藏库,Open the refrigerator.
refuse,拒绝；废料,Refuse the offer.
regard,看待；问候,In this regard.
regardless,不管；不顾,Regardless of.
region,地区；区域,The region.
register,登记；注册,Register now.
regret,后悔；遗憾,I regret.
regular,规则的；定期的,Regular exercise.
regulate,管理；控制,Regulate the flow.
reject,拒绝；抛弃,Reject the proposal.
relate,联系；叙述,Relate to.
relation,关系；亲属,The relation.
relationship,关系；关联,Good relationship.
relative,相对的；亲戚,Relative to.
relax,放松；休息,Relax yourself.
release,释放；发布,Release the bird.
relevant,相关的；切题的,Relevant information.
reliable,可靠的；可信赖的,Reliable source.
relief,轻松；解脱,Feel relief.
relieve,缓解；减轻,Relieve pain.
religion,宗教；信仰,Study religion.
religious,宗教的；虔诚的,Religious belief.
rely,依赖；依靠,Rely on.
remain,保持；剩余,Remain calm.
remark,评论；言论,Make a remark.
remember,记得；记住,Remember me.
remind,提醒；使想起,Remind me.
remote,遥远的；远程的,Remote control.
remove,移动；消除,Remove the stain.
rent,租金；出租,Pay rent.
repair,修理；修补,Repair the car.
repeat,重复；重说,Repeat after me.
replace,代替；替换,Replace the battery.
reply,回答；答复,Reply to.
report,报告；报道,Write a report.
represent,代表；表现,Represent the team.
republic,共和国；共和政体,The republic.
reputation,名声；名誉,Good reputation.
request,请求；要求,Make a request.
require,需要；要求,Require help.
rescue,营救；救援,Rescue the victim.
research,研究；调查,Do research.
resemble,像；类似于,Resemble the father.
reserve,保留；预订,Reserve a seat.
reservoir,水库；蓄水池,The reservoir.
reside,居住；属于,Reside in.
resident,居民；住院医生,The resident.
resign,辞职；放弃,Resign from.
resist,抵抗；抵制,Resist the temptation.
resolve,解决；决心,Resolve the issue.
resource,资源；财力,Natural resources.
respect,尊重；方面,Show respect.
respond,回答；响应,Respond to.
response,回答；响应,In response.
responsibility,责任；职责,Take responsibility.
responsible,负责的；有责任的,Be responsible.
rest,休息；其余,Take a rest.
restaurant,餐馆；饭店,Eat at restaurant.
restore,恢复；修复,Restore the building.
restrict,限制；约束,Restrict access.
result,结果；成效,The result.
retain,保持；保留,Retain the moisture.
retire,退休；退职,Retire from.
return,返回；归还,Return home.
reveal,揭示；显示,Reveal the truth.
revenue,收入；税收,Government revenue.
review,复习；回顾,Review the lesson.
revise,修订；复习,Revise the plan.
revolution,革命；旋转,The revolution.
reward,报酬；奖赏,Reward the effort.
rhythm,节奏；韵律,The rhythm.
rice,米；稻,Eat rice.
rich,富有的；丰富的,Rich man.
rid,摆脱；除去,Get rid of.
ride,骑；乘车,Ride a bike.
ridiculous,荒谬的；可笑的,Ridiculous idea.
rifle,步枪；来复枪,The rifle.
right,正确的；右边,You're right.
ring,戒指；铃声,Wedding ring.
ripe,成熟的；时机成熟的,The fruit is ripe.
rise,上升；增加,The sun rises.
risk,风险；危险,Take a risk.
river,河；江,The river flows.
road,路；道路,On the road.
roar,咆哮；吼叫,The lion roars.
roast,烤；烘,Roast the meat.
rob,抢劫；掠夺,Rob the bank.
rock,岩石；摇滚乐,The rock is hard.
rocket,火箭；火箭筒,Launch a rocket.
role,角色；作用,Play a role.
roll,滚动；卷,Roll the ball.
romantic,浪漫的；多情的,Romantic story.
roof,屋顶；顶部,On the roof.
room,房间；空间,A big room.
root,根；根源,The root of.
rope,绳；索,Tie with rope.
rose,玫瑰；上升,A red rose.
rot,腐烂；腐败,The fruit rots.
rough,粗糙的；粗略的,Rough surface.
round,圆的；围绕,A round table.
route,路线；航线,The route.
routine,常规；例行公事,Daily routine.
row,行；排,A row of.
royal,皇家的；王室的,Royal family.
rub,擦；摩擦,Rub the hands.
rubber,橡胶；橡皮,Rubber band.
rubbish,垃圾；废物,Throw rubbish.
ruin,毁灭；废墟,The ruin.
rule,规则；统治,Follow the rule.
ruler,统治者；尺,The ruler.
rumor,谣言；传闻,Spread a rumor.
run,跑；经营,Run fast.
rush,冲；匆忙,In a rush.
sad,悲哀的；忧愁的,Feel sad.
safe,安全的；保险箱,Safe and sound.
safety,安全；安全设备,Safety first.
sail,航行；扬帆,Sail the sea.
sailor,水手；海员,The sailor.
salad,色拉；凉拌菜,Eat salad.
salary,薪水；工资,Monthly salary.
sale,出售；销售,On sale.
salt,盐；盐类,Add salt.
same,相同的；同一,The same.
sample,样品；样本,A sample.
sand,沙；沙子,The sand is hot.
sandwich,三明治；夹心面包,Eat a sandwich.
satellite,卫星；人造卫星,The satellite.
satisfaction,满意；满足,Feel satisfaction.
satisfy,使满意；满足,Satisfy the need.
Saturday,星期六,On Saturday.
sauce,酱汁；调味汁,Add sauce.
saucer,茶托；小碟,Tea saucer.
sausage,香肠；腊肠,Eat sausage.
save,挽救；节省,Save money.
say,说；讲,What did you say?
scale,规模；比例,On a large scale.
scan,扫描；浏览,Scan the document.
scare,惊吓；受惊,Don't scare me.
scene,场景；景色,The scene.
scenery,风景；景色,Beautiful scenery.
schedule,时间表；计划,Follow the schedule.
scheme,计划；方案,The scheme.
school,学校；学院,Go to school.
science,科学；学科,Study science.
scientific,科学的；系统的,Scientific method.
scientist,科学家,The scientist.
scissors,剪刀,Cut with scissors.
scold,责骂；训斥,Don't scold.
score,得分；二十,The score.
scratch,抓；搔,Don't scratch.
screen,屏幕；银幕,The TV screen.
screw,螺丝；拧紧,Tighten the screw.
sea,海；海洋,The sea is blue.
seal,密封；印章,Seal the envelope.
search,搜索；搜寻,Search for.
season,季节；时期,Four seasons.
seat,座位；场所,Take a seat.
second,第二；秒,The second.
secondary,次要的；中等的,Secondary school.
secret,秘密；秘诀,Keep it secret.
secretary,秘书；书记,The secretary.
section,部分；部门,A section.
secure,安全的；获得,Secure the door.
security,安全；保证,Security check.
see,看见；明白,I see.
seed,种子；萌芽,Plant a seed.
seek,寻找；追求,Seek the truth.
seem,似乎；好像,It seems.
seize,抓住；夺取,Seize the day.
seldom,很少；不常,Seldom late.
select,选择；挑选,Select the best.
selection,选择；挑选品,The selection.
self,自己；自我,On my own.
sell,卖；销售,Sell goods.
send,送；寄,Send a letter.
senior,年长的；高级的,Senior high school.
sense,感觉；意义,Make sense.
sensitive,敏感的；灵敏的,Sensitive to.
sentence,句子；判决,The sentence.
separate,分开的；分离,Separate the two.
September,九月,In September.
sequence,顺序；序列,The sequence.
series,系列；连续,A series.
